NAME,CATEGORY,POSTAL_CODE
BMO Field,Sports / Entertainment Venue,M6K
Aga Khan Museum,Museum,M3C
Air Canada Centre,Sports / Entertainment Venue,M5J
Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,M5S
Alexander Muir Memorial Gardens,Nature/ Park,
Allan Gardens,Nature/ Park,M5A
Alumnae Theatre,Performing Arts,M5A
Art Gallery of Ontario,Gallery,M5T
Ashbridges Bay Park,Nature/ Park,M4L
Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,
BAPS Shri Swaminarayan Mandir,Landmark,M9W
Beanfield Centre (formerly Allstream Centre),Convention & Trade Centres,M6K
Berkeley Street Theatre,Performing Arts,M5A
Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,M4Y
Billy Bishop Toronto City Airport,Transportation,
Black Creek Pioneer Village,Museum,M3J
Buddies in Bad Times Theatre,Performing Arts,M4Y
Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue,M6K
Campbell House,Museum,M5H
Canada's Walk of Fame,Landmark,
Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,M9W
Canadian Sculpture Centre,Gallery,M4Y
Casa Loma,Attraction,M5R
CBC Museum,Museum,M5V
Cedar Ridge Creative Centre,Nature/ Park,M1G
Centennial Park,Nature/ Park,M9C
Centennial Park Conservatory,Nature/ Park,
Centre Island Beach,Nature/ Park,
Centreville Amusement Park,Attraction,
Cherry Beach/ Clarke Beach Park,Nature/ Park,
Chinese Cultural Centre of Greater Toronto,Attraction,M1B
Cloud Gardens Conservatory,Garden / Conservatory,M5H
CN Tower,Attraction,M5V
Colborne Lodge,Museum,
Dancemakers and the Centre for Creation,Performing Arts,M5A
Design Exchange,Museum,
Downsview Park,Nature/ Park,M3K
Ed Mirvish Theatre,Performing Arts,M5B
Elgin and Winter Garden Theatre Centre,Performing Arts,M5B
Enercare Centre (formely known as Direct Energy Centre),Convention & Trade Centres,M6K
Evergreen Brick Works,Attraction,M4W
Exhibition Place,Convention & Trade Centres,M6K
Factory Theatre,Performing Arts,M5V
Famous PEOPLE Players,Performing Arts,M8Z
Fort York National Historic Site,Museum,M5V
Four Seasons Centre for the Performing Arts,Performing Arts,M5H
Franklin Children's Garden,Garden / Conservatory,M5J
Gallery Indigena,Gallery,M5A
Gardiner Museum of Ceramic Art,Museum,M5S
George Ignatieff Theatre,Performing Arts,M5S
Gibraltar Point Beach,Nature/ Park,M5J
Gibson House Museum,Museum,M2N
Glen Rouge Campground,Nature/ Park,M1B
Glenn Gould Studio,Performing Arts,M5V
Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,M1E
Toronto Coach Terminal,Transportation,M5G
Hanlan's Point Beach,Nature/ Park,
Harbourfront Centre,Performing Arts,M5J
Hart House Theatre,Performing Arts,M5S
High Park,Nature/ Park,
Historic Zion Schoolhouse,Museum,M2J
Hockey Hall of Fame,Attraction,M5E
HTO Park,Nature/ Park,M5V
Hudson's Bay,Landmark,M5C
Humber Arboretum,Nature/ Park,M9W
Humber Bay Park ( Humber Bay Butterfly Habitat),Nature/ Park,M8V
INFOTOGO Tourist Info Trailer - Ferry Terminal,Visitor Information,M5J
INFOTOGO Tourist Info Trailer - Nathan Phillips Square,Visitor Information,M5H
INFOTOGO Tourist Info Trailer - Roundhouse Park,Visitor Information,M5V
Isabel Bader Theatre,Performing Arts,M5S
Jack Layton Ferry Terminal,Transportation,M5J
James Garden Park,Garden / Conservatory,M9A
Japan Foundation,Museum,M4W
Kew Balmy Beach,Nature/ Park,M4L
Kew Gardens Park,Nature/ Park,M4L
Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,M5S
Lower Ossington Theatre,Performing Arts,M6J
Mackenzie House,Museum,M5B
Marie Curtis Park East Beach,Nature/ Park,
Massey Hall,Performing Arts,M5B
Mattamy Athletic Centre,Sports / Entertainment Venue,M5B
Medieval Times Dinner and Tournament,Performing Arts,M6K
Metro Toronto Convention Centre,Convention & Trade Centres,M5V
Montgomery's Inn,Museum,M9A
MuchMusic (Bell Media Queen Street),Landmark,M5V
Museum of Contemporary Canadian Art (re-opening Fall 2017),Gallery,M6R
Mysteriously Yours Mystery Dinner Theatre,Performing Arts,M4S
