Geographic code,"Population, 2016"
M2N,75897
M1B,66108
M2J,58293
M9V,55959
M1V,54680
M1W,48471
M1K,48434
M1E,46943
M4C,46866
M4C,46866
M1P,45571
M3N,41958
M3N,41958
M6N,41243
M5A,41078
M5A,41078
M2R,40792
M9W,40684
M6P,40035
M3C,39153
M9C,38291
M8V,37975
M1S,37769
M3H,37011
M1J,36699
M4J,35738
M4J,35738
M1C,35626
M9A,35594
M1L,35081
M3A,34615
M1T,34588
M6S,34299
M9R,33743
M4L,32640
M4L,32640
M9B,32400
M2M,32320
M4K,31583
M4K,31583
M4Y,30472
M4Y,30472
M1R,29858
M1G,29690
M4S,26506
M4S,26506
M3J,25473
M9N,25074
M4E,25044
M4E,25044
M4M,24689
M4M,24689
M2H,24497
M1H,24383
M3M,24046
M3M,24046
M2K,23852
M1M,22913
M9M,22263
M1N,22136
M8Y,21299
M9P,20874
M4X,20822
M4X,20822
M8W,20674
M4P,20039
M4P,20039
M6R,19857
M4H,19688
M4H,19688
M4G,19076
M4G,19076
M4B,18628
M4B,18628
M4V,18241
M4V,18241
M3L,17339
M3L,17339
M8Z,17038
M4N,15330
M4N,15330
M1X,15097
M4W,14561
M4W,14561
M4A,14443
M4A,14443
M3B,13324
M5B,12785
M5B,12785
M9L,11950
M2L,11717
M4R,11394
M4R,11394
M8X,10787
M4T,10463
M4T,10463
M2P,7843
M3K,5997
M5C,2951
M5C,2951
M7A,10
M7Y,10
