X,Y,Index_,premisetype
-79.4052277,43.6569824,7801,Commercial
-79.3079071,43.7787323,7802,Commercial
-79.2883606,43.6912346,7805,Commercial
-79.6113205,43.7106895,7811,Commercial
-79.5086365,43.7209167,7813,Commercial
-79.3954315,43.6719017,7820,Commercial
-79.3992844,43.7109146,7827,Commercial
-79.5660629,43.7605896,7828,Commercial
-79.4855499,43.6198273,7834,Commercial
-79.5494156,43.6204758,7835,Commercial
-79.3953629,43.6462173,7836,Commercial
-79.4249268,43.6326866,7837,Commercial
-79.2773132,43.7763481,7839,Commercial
-79.5041428,43.6010094,7848,Commercial
-79.3845978,43.6649399,7857,Commercial
-79.3948364,43.675087,7867,Commercial
-79.3849564,43.665844,7871,Commercial
-79.3021011,43.7233849,7874,Commercial
-79.3834229,43.6621399,7876,Commercial
-79.3640366,43.66259,7879,Commercial
-79.4206009,43.6488876,7881,Commercial
-79.4132309,43.7036133,7887,Commercial
-79.44841,43.7152138,7892,Commercial
-79.380806,43.6498947,7896,Commercial
-79.2659073,43.7539368,7308,Commercial
-79.2659073,43.7539368,7309,Commercial
-79.3865509,43.6673126,7312,Commercial
-79.3865509,43.6673126,7313,Commercial
-79.3865509,43.6673126,7314,Commercial
-79.3865509,43.6673126,7315,Commercial
-79.5489807,43.6488075,7319,Commercial
-79.4097672,43.6615181,7320,Commercial
-79.4277039,43.6813011,7331,Commercial
-79.380928,43.6563301,7338,Commercial
-79.58815,43.6989975,7353,Commercial
-79.4348679,43.7371902,7366,Commercial
-79.4988251,43.6844788,7368,Commercial
-79.3722076,43.6676369,7370,Commercial
-79.5870972,43.7536201,7376,Commercial
-79.4820709,43.7266426,7383,Commercial
-79.3840103,43.6423912,7385,Commercial
-79.507225,43.7154579,7388,Commercial
-79.4210129,43.639473,7394,Commercial
-79.2371368,43.8142204,7901,Commercial
-79.2371368,43.8142204,7902,Commercial
-79.4882813,43.7640915,7905,Commercial
-79.4882813,43.7640915,7906,Commercial
-79.4882813,43.7640915,7907,Commercial
-79.3343124,43.6623383,7910,Commercial
-79.3343124,43.6623383,7911,Commercial
-79.4464111,43.6395187,7913,Commercial
-79.3986816,43.7082138,7101,Commercial
-79.3827209,43.6459846,7102,Commercial
-79.4493332,43.6959,7916,Commercial
-79.2882614,43.7832909,7701,Commercial
-79.3868179,43.639431,7005,Commercial
-79.3868179,43.639431,7006,Commercial
-79.3912811,43.6711349,7007,Commercial
-79.5596771,43.7640419,7009,Commercial
-79.4074707,43.6659164,7011,Commercial
-79.5423813,43.7520943,7013,Commercial
-79.3900452,43.6472282,7021,Commercial
-79.3771591,43.7110405,7029,Commercial
-79.3874435,43.664978,7036,Commercial
-79.4441757,43.6672173,7052,Commercial
-79.3247681,43.6831207,7060,Commercial
-79.3247681,43.6831207,7061,Commercial
-79.2853851,43.6906395,7066,Commercial
-79.5348663,43.7104225,7071,Commercial
-79.4259949,43.6427689,7082,Commercial
-79.2773132,43.7763481,7084,Commercial
-79.337822,43.6803169,7085,Commercial
-79.337822,43.6803169,7086,Commercial
-79.4544525,43.6705246,7089,Commercial
-79.2505341,43.7766724,7091,Commercial
-79.3448944,43.7361908,7097,Commercial
-79.5612564,43.6177788,7099,Commercial
-79.2882614,43.7832909,7702,Commercial
-79.2758408,43.7599525,7104,Commercial
-79.3701248,43.6561661,7917,Commercial
-79.5340195,43.5943642,7918,Commercial
-79.3841553,43.6639061,7106,Commercial
-79.2882614,43.7832909,7706,Commercial
-79.2882614,43.7832909,7707,Commercial
-79.2882614,43.7832909,7708,Commercial
-79.2882614,43.7832909,7709,Commercial
-79.536171,43.6037407,7717,Commercial
-79.2954788,43.6709938,7726,Commercial
-79.573967,43.7210159,7730,Commercial
-79.3401794,43.6798782,7731,Commercial
-79.4845352,43.7573624,7733,Commercial
-79.2329788,43.7795486,7750,Commercial
-79.3610458,43.6477394,7760,Commercial
-79.2923889,43.6952782,7762,Commercial
-79.367981,43.6642876,7767,Commercial
-79.2683105,43.7875824,7770,Commercial
-79.3871536,43.6711235,7775,Commercial
-79.3501511,43.6595879,7787,Commercial
-79.5770645,43.6902161,7789,Commercial
-79.3436279,43.7074776,7791,Commercial
-79.4327621,43.7321625,7799,Commercial
-79.4600449,43.6547089,7107,Commercial
-79.4482651,43.7248802,7920,Commercial
-79.3343964,43.7099991,7409,Commercial
-79.3933716,43.6715469,7416,Commercial
-79.3531952,43.7619286,7423,Commercial
-79.4397583,43.6786957,7424,Commercial
-79.5459671,43.7676811,7430,Commercial
-79.5401764,43.7626762,7441,Commercial
-79.3863678,43.6480103,7442,Commercial
-79.4350128,43.7754517,7443,Commercial
-79.2155685,43.7439499,7447,Commercial
-79.2958679,43.6793861,7450,Commercial
-79.4167328,43.655117,7455,Commercial
-79.204834,43.797451,7456,Commercial
-79.3799744,43.6540642,7457,Commercial
-79.4989166,43.6175003,7458,Commercial
-79.2251663,43.7417946,7459,Commercial
-79.2251663,43.7417946,7460,Commercial
-79.498497,43.6022644,7462,Commercial
-79.2421265,43.7057419,7467,Commercial
-79.3768387,43.6411552,7470,Commercial
-79.4203186,43.7594452,7471,Commercial
-79.3802795,43.6486511,7473,Commercial
-79.4769135,43.6302719,7477,Commercial
-79.4178238,43.7889824,7480,Commercial
-79.3780518,43.702198,7490,Commercial
-79.3809586,43.6657257,7491,Commercial
-79.5724869,43.7170219,7498,Commercial
-79.3475571,43.656498,7922,Commercial
-79.4101257,43.7582283,7610,Commercial
-79.3266983,43.7746696,7111,Commercial
-79.4954758,43.6512604,7512,Commercial
-79.3575668,43.7022667,7928,Commercial
-79.4531784,43.7069855,7117,Commercial
-79.5598526,43.7498055,7215,Commercial
-79.3936386,43.6457634,7517,Commercial
-79.3746109,43.7042732,7934,Commercial
-79.1977463,43.7978325,7936,Commercial
-79.5303497,43.6469917,7937,Commercial
-79.389183,43.6494598,7940,Commercial
-79.5308533,43.7418175,7946,Commercial
-79.2520523,43.7358513,7949,Commercial
-79.4223557,43.6535072,7952,Commercial
-79.4754562,43.6972389,7964,Commercial
-79.3801956,43.6399651,7967,Commercial
-79.5175171,43.7011375,7972,Commercial
-79.5244141,43.5965309,7981,Commercial
-79.5138016,43.7198334,7985,Commercial
-79.5138016,43.7198334,7986,Commercial
-79.2071381,43.8119583,7987,Commercial
-79.4052277,43.6569824,7988,Commercial
-79.4052277,43.6569824,7989,Commercial
-79.3799744,43.6540642,7994,Commercial
